month,retail_food_service_sales,retail_inventories,broadband_download,broadband_upload,employees_clothing,employees_dept_store,temp_key_west,temp_nyc,temp_seattle
1990-01,,,,,1337.2,1502.7,22.9,5.1,5.8
1990-02,,,,,1331.9,1492.5,24.2,4.4,4.4
1990-03,,,,,1327.9,1496.6,23.9,6.7,8.4
1990-04,,,,,1326.9,1500.1,24.8,11.7,11.2
1990-05,,,,,1319.9,1497.3,27.6,15.4,12.6
1990-06,,,,,1314.1,1497,29.1,22.4,15.4
1990-07,,,,,1310.8,1499.5,29.3,25.1,20
1990-08,,,,,1301.3,1493.4,29.8,24.6,19.6
1990-09,,,,,1304.4,1491.5,28.8,20.4,17.4
1990-10,,,,,1300.3,1488.4,27.2,17.3,10.7
1990-11,,,,,1295.4,1484.3,24.2,10.6,8.1
1990-12,,,,,1291.6,1479.7,23.7,6.2,1.8
1991-01,,,,,1290.5,1472.4,24.2,1.9,4.4
1991-02,,,,,1288.2,1462.5,22.6,4.6,8.8
1991-03,,,,,1286.3,1457,24.3,7.1,6.7
1991-04,,,,,1274.8,1449.1,26.9,13.1,9.5
1991-05,,,,,1275.7,1445.4,27.9,20.6,12.4
1991-06,,,,,1274.1,1441.7,28.8,23.8,14.9
1991-07,,,,,1273.1,1435.8,29.8,26,19.3
1991-08,,,,,1276.2,1432.4,29.7,25.7,19.2
1991-09,,,,,1272.4,1425.9,28.8,20.6,17.2
1991-10,,,,,1266.2,1422.6,26.8,15.3,11.7
1991-11,,,,,1264.1,1422.1,23.6,9.3,8.5
1991-12,,,,,1270.3,1424.3,22.7,4.6,8.5
1992-01,118643,235509,,,1254.6,1428.7,20.9,2.2,6.6
1992-02,118514,239270,,,1253.1,1431.6,22.5,2.5,8.5
1992-03,117719,244966,,,1249.8,1429.6,23,4.6,10.2
1992-04,118192,249466,,,1255,1436.9,24.2,10.2,11.7
1992-05,118552,247282,,,1251.7,1445.3,25.4,16.2,15.4
1992-06,118557,246247,,,1250,1449.4,28.6,21.8,18.3
1992-07,119078,248181,,,1248.1,1444.9,29.4,24.1,19.2
1992-08,119174,247620,,,1243.7,1449.4,29.5,23.3,19.3
1992-09,120062,254494,,,1241.8,1454.1,28.4,20.2,15.6
1992-10,120452,269112,,,1246.2,1456.8,26.4,13.1,12.4
1992-11,120355,275486,,,1249.5,1455.7,25.5,8.1,7.5
1992-12,121571,256167,,,1251.1,1463.8,22.7,3.3,3.8
1993-01,122604,254932,,,1257.2,1468.1,23.6,2.5,3.3
1993-02,121433,260480,,,1266.3,1482.6,21.5,-0.9,5.7
1993-03,120257,268674,,,1258.1,1480.4,22.2,3.4,8.9
1993-04,122925,269954,,,1259.5,1476.5,23.5,11.4,10.3
1993-05,123748,268091,,,1263.7,1476.7,26.2,18.4,15.4
1993-06,123493,265381,,,1262.8,1478.7,28.8,22.9,15.9
1993-07,125093,263236,,,1258.1,1485.3,29.9,26.7,16.2
1993-08,124787,263378,,,1261.4,1488.6,29.6,25.2,18.6
1993-09,125379,272037,,,1257.3,1493.7,28.8,20.2,16.6
1993-10,125625,288844,,,1254,1497.8,27.3,13.7,13
1993-11,126538,296849,,,1251.4,1502.9,25.1,9.3,5.6
1993-12,127368,274072,,,1262.1,1499.4,21.6,3.2,5.2
1994-01,126540,270128,,,1250.7,1497,21.3,-3.4,7.2
1994-02,128205,275147,,,1253.7,1515,23.7,-0.9,4.7
1994-03,130243,280637,,,1260.2,1521.5,23.7,4.8,9.2
1994-04,130185,283065,,,1255.1,1530.1,26.2,13.1,11.3
1994-05,129451,285703,,,1255.5,1536.8,27.6,16.8,14.6
1994-06,130626,286183,,,1256.2,1544.7,29.6,24.2,15.9
1994-07,130568,282611,,,1263.4,1559.8,29.1,27,19.9
1994-08,131649,288275,,,1262.8,1572.9,28.6,24.1,19.6
1994-09,132454,299464,,,1271.3,1582.9,28.1,20.4,18
1994-10,133587,317119,,,1272,1590.4,26.9,14.7,11.6
1994-11,133326,324979,,,1266,1624.2,25.6,11,5.8
1994-12,133691,299812,,,1264.6,1615.6,23.2,5.7,5.4
1995-01,133942,300358,,,1266.6,1626,20.6,3.3,8
1995-02,131467,306330,,,1270.9,1625,20.7,-0.1,7.7
1995-03,132427,313577,,,1261.1,1605.8,23.2,7.2,8.8
1995-04,132443,317499,,,1258.5,1625.4,25.8,11.1,11
1995-05,133460,316421,,,1251,1624.8,28.6,16.8,15.6
1995-06,134847,312495,,,1249.7,1632.2,28.4,22.4,17.1
1995-07,134311,307463,,,1245.6,1633.9,29.3,26.6,19.4
1995-08,135075,311013,,,1243.5,1630.7,29.6,26.2,17.2
1995-09,135191,319667,,,1231.5,1633.8,28.9,20.3,17.8
1995-10,134304,340454,,,1223.7,1644.4,27.6,17.3,11.4
1995-11,135759,349546,,,1229.5,1633.4,24.1,7.3,9.5
1995-12,136734,317304,,,1224.6,1627.6,20.7,1.2,5.8
1996-01,134926,314998,,,1219.9,1626.1,20.3,0.1,4.3
1996-02,136781,319748,,,1220.7,1630.8,20.4,1.9,6.2
1996-03,137527,321741,,,1221.3,1636.7,21.1,4.3,8.4
1996-04,137504,323805,,,1216.7,1627,24.3,11.1,10.8
1996-05,138302,322877,,,1219.9,1651.3,26.9,16,11.7
1996-06,137881,318780,,,1220,1653.1,28.1,21.7,15.8
1996-07,137818,318297,,,1218.6,1652.6,29.3,23.6,19.9
1996-08,137630,321058,,,1216.3,1652.1,28.7,24.2,19.2
1996-09,139023,331094,,,1220,1650.2,28.6,20.9,15.1
1996-10,139721,352641,,,1221.6,1657.5,26.1,14.3,10.6
1996-11,139250,357896,,,1225,1648.2,24.3,6.5,6.2
1996-12,139471,328160,,,1226.4,1649.7,22.5,5.4,4.1
1997-01,140228,324554,,,1225,1638.4,21.5,0.4,5.1
1997-02,141145,330892,,,1223,1633.5,24,4.6,5.5
1997-03,141512,334058,,,1224,1649.9,25.1,5.5,7.1
1997-04,140455,337818,,,1227.1,1648.7,25.3,11.3,9.6
1997-05,139403,334627,,,1227,1647.5,27.7,15.5,14.6
1997-06,141104,331608,,,1230.4,1649.1,28.4,22.3,15.3
1997-07,142605,328950,,,1229.9,1654,28.9,24.9,18.1
1997-08,142610,328574,,,1236,1659.1,29.2,23.9,19.8
1997-09,142856,341386,,,1244.1,1657.9,27.7,20.3,16.8
1997-10,142305,361109,,,1252.6,1667.2,26,14.5,10.7
1997-11,142539,367252,,,1255.6,1676.5,24.2,7.3,9.1
1997-12,142891,338790,,,1260.6,1677,21.4,3.8,5.3
1998-01,142966,335808,,,1266,1671.6,21.4,4.5,5.7
1998-02,143002,341194,,,1263,1672.2,21.4,4.8,7.7
1998-03,143854,349081,,,1260.8,1669.2,21.4,7,8.1
1998-04,145485,352236,,,1268.1,1669.9,24.6,12,10.2
1998-05,145790,343884,,,1268.6,1677.3,26.5,18.2,12.7
1998-06,146780,339988,,,1270.4,1678.2,29.5,21.1,15.5
1998-07,145480,336651,,,1270.7,1679.1,29.8,25.5,19.8
1998-08,144683,338084,,,1274,1679.9,29.2,25.4,19.3
1998-09,145897,351341,,,1273.2,1688.4,28.6,21.9,17.3
1998-10,147975,371432,,,1266.3,1692.8,27,14.8,11.4
1998-11,148877,380304,,,1272.7,1692.1,25,9.2,8.2
1998-12,149986,351252,,,1275.3,1690.7,23.7,6.5,4.4
1999-01,149903,349707,,,1279.6,1702.6,22.1,0.9,5.6
1999-02,151494,355877,,,1294.3,1696,21.8,2.8,5.8
1999-03,152098,366722,,,1291.1,1702.5,22,5.8,6.8
1999-04,152151,371190,,,1293.4,1710.1,25.7,11.6,9.2
1999-05,153457,367115,,,1302.6,1710.9,26.8,17.2,11
1999-06,153899,366065,,,1305.5,1714.3,28.2,23.2,14.6
1999-07,154434,359415,,,1313.9,1716,28.9,27.7,16.9
1999-08,155747,361954,,,1315.1,1714.5,28.9,24.6,18.2
1999-09,155752,374504,,,1313.2,1711.7,28.5,21.2,16
1999-10,155756,394812,,,1323.1,1714.8,26.5,14.1,11.2
1999-11,157294,406483,,,1326,1697.6,23.7,10.7,8.8
1999-12,159879,378810,,,1316.5,1728.2,22.2,4.8,5.6
2000-01,158353,375970,,,1311.7,1742.8,21.2,0,4.6
2000-02,160015,380269,,,1320.8,1737.6,21.5,3,6.5
2000-03,160944,388373,,,1319.3,1738.7,24.2,8.2,6.9
2000-04,158571,390973,,,1321.8,1770.1,24.3,10.5,10.5
2000-05,158539,390772,,,1318.2,1738,27.2,17.4,12.1
2000-06,158792,391014,,,1318.7,1740.6,28.5,22.4,15.9
2000-07,157868,381641,,,1322.4,1748.7,29.5,23.1,17.9
2000-08,158051,388221,,,1317.6,1761,28.4,23.6,17.5
2000-09,159863,398871,,,1329.4,1766.5,28.8,20,15.7
2000-10,159271,423600,,,1322.4,1766.8,25.7,15,11.6
2000-11,158397,433457,,,1323.6,1770.6,23.5,8,5.8
2000-12,157919,400392,,,1328,1771.5,21,-0.1,4.9
2001-01,158833,398351,,,1333,1765.5,18.1,1.1,5.5
2001-02,158409,399148,,,1342.5,1777.2,23.8,2.2,4.8
2001-03,156998,405684,,,1335.4,1779.5,23.3,4.2,
2001-04,159183,406514,,,1330.5,1779.4,25.1,11.9,8.9
2001-05,158796,402915,,,1331.1,1781.2,25.7,17.7,13
2001-06,157790,397914,,,1327.9,1782.2,28.8,23.5,14.3
2001-07,157566,390418,,,1315.9,1771.4,28.6,23.9,17
2001-08,158638,395435,,,1316.7,1763.8,29.1,26.6,18.2
2001-09,155022,405710,,,1312.3,1763.4,27.7,20.4,15.5
2001-10,165886,417030,,,1304.2,1760.8,26.2,15.4,10.7
2001-11,161668,420473,,,1305.8,1747.2,23.6,11.9,8.2
2001-12,159923,387858,,,1301.6,1738.3,23.2,6.9,5.3
2002-01,159585,388014,,,1309.2,1715.8,21.6,4.6,4.9
2002-02,160147,393293,,,1303.5,1717.7,21.6,4.9,5.6
2002-03,159248,398360,,,1309.5,1714.7,24.1,6.7,5.5
2002-04,161086,399290,,,1309.6,1731.5,26.1,13,9.3
2002-05,158767,399389,,,1309.5,1706.5,27.4,16,11.8
2002-06,160023,396141,,,1310.4,1691.5,27.9,22.5,16.2
2002-07,161348,391802,,,1315.5,1680.1,29,26.3,18.3
2002-08,162101,392198,,,1314.4,1650.5,29.1,25.8,18.5
2002-09,159529,407598,,,1312.1,1646.9,28.9,21.8,15.9
2002-10,159849,431650,,,1315.6,1648.4,27.9,13.6,10.8
2002-11,160592,441616,,,1315.2,1658,23.7,7.9,8.3
2002-12,161613,409314,,,1321.7,1660.8,21.8,2.6,6.2
2003-01,161721,409409,,,1306.6,1648.6,17.6,-2.3,7.7
2003-02,158599,417278,,,1294.4,1643.3,22.2,-1,5.4
2003-03,161148,426468,,,1298.3,1626.6,25.4,5.7,8.2
2003-04,161384,428292,,,1306.3,1618.1,24.1,9.6,9.4
2003-05,162062,421384,,,1300.4,1608.1,27.8,14.7,12.7
2003-06,163670,417912,,,1297.5,1605.3,28.3,20.5,17.2
2003-07,164845,409729,,,1295.6,1606.7,29.4,25.1,19.9
2003-08,166812,405392,,,1297.3,1622.4,30,25.6,19.1
2003-09,165287,421329,,,1308.2,1625.4,29.4,20.9,17
2003-10,164877,446818,,,1314.5,1620.2,28.2,13.6,12.5
2003-11,166804,458354,,,1312,1613.9,25.8,10.5,6
2003-12,165706,425790,,,1310.5,1614.3,20.2,3.7,5.4
2004-01,166004,423999,,,1328.6,1605.3,20.3,-3.4,4.6
2004-02,166815,431337,,,1339.6,1603.6,21.7,1.8,7
2004-03,169413,444603,,,1351.4,1605.4,23,6.2,8.8
2004-04,167326,451327,,,1361,1605.6,23.8,11.6,11.9
2004-05,169502,445823,,,1366.1,1605,26.1,18.1,14
2004-06,166764,446763,,,1373.4,1612.5,28.9,22.5,17.5
2004-07,168475,439456,,,1374.1,1602.9,29.2,24.4,20.1
2004-08,168603,442080,,,1377.3,1601.9,29.2,24.1,19.5
2004-09,171058,452455,,,1380.3,1599.6,28.1,21.4,15
2004-10,171240,474548,,,1380.9,1606.8,27.2,14.2,11.9
2004-11,171044,489081,,,1379.2,1609.9,25.2,9.4,7.3
2004-12,173136,454938,,,1367,1609.9,21.5,3.4,6
2005-01,172129,452251,,,1383.1,1601.1,20.6,-0.7,5.7
2005-02,172975,458138,,,1389.6,1601.8,21.2,2,5.9
2005-03,172149,468628,,,1397.5,1591.8,22.2,3.7,9.5
2005-04,174493,470481,,,1403.7,1597.8,23.5,12.3,10.5
2005-05,172912,464849,,,1410.5,1593.4,26.4,14.9,14.6
2005-06,176996,457720,,,1418.9,1594.2,28.2,23.6,15.6
2005-07,178229,439504,,,1431.4,1600.1,29.4,25.8,18.7
2005-08,174818,442595,,,1435.9,1598.6,29.9,27.1,19.3
2005-09,172746,458706,,,1427.4,1600,28.5,23.8,15.3
2005-10,173128,483006,,,1420,1588.5,27,15.5,12.3
2005-11,175418,497974,,,1428.1,1592.8,24.4,10.6,6.1
2005-12,175533,466267,,,1432.6,1580.3,21.3,2.5,6.1
2006-01,179535,465661,,,1438,1569.5,21,5.3,8
2006-02,177781,468347,,,1439.8,1570.9,20.8,2.6,6.2
2006-03,178354,483024,,,1431,1573.1,22.8,6.6,7.6
2006-04,178422,482511,,,1423.7,1566.9,24.7,13.4,10.2
2006-05,176970,483261,,,1423.6,1557.4,26,17.7,13.8
