quarter,ecommerce_retail_sales
1999Q4,5264
2000Q1,5556
2000Q2,6060
2000Q3,6890
2000Q4,9073
2001Q1,7875
2001Q2,7804
2001Q3,7739
2001Q4,10784
2002Q1,9605
2002Q2,10049
2002Q3,10727
2002Q4,14142
2003Q1,12324
2003Q2,12931
2003Q3,13861
2003Q4,17868
2004Q1,16140
2004Q2,16431
2004Q3,17312
2004Q4,22467
2005Q1,20055
2005Q2,20823
2005Q3,22032
2005Q4,27966
2006Q1,25315
2006Q2,25625
2006Q3,26660
2006Q4,34884
2007Q1,30148
2007Q2,31293
2007Q3,32013
2007Q4,41750
2008Q1,33892
2008Q2,33882
2008Q3,33102
2008Q4,39113
2009Q1,31853
2009Q2,32432
2009Q3,33925
2009Q4,45072
2010Q1,36408
2010Q2,37735
2010Q3,39235
2010Q4,53144
2011Q1,42975
2011Q2,44017
2011Q3,44634
2011Q4,62278
2012Q1,49999
2012Q2,50873
2012Q3,52368
2012Q4,72073
2013Q1,58132
2013Q2,60219
,
E-Commerce Retail Sales,
